    | DNI        | Paciente                         | Fecha y Hora         | ID   | Mát.    | Profesional                   

   0| 22752202   | Jacinto Angel  , Almonte         | 2017-04-08 00:42:45  | 84   | pq8630   | Alexandra Teodo, Collins        
   1| 40908883   | Gabriela Loreda, Roa             | 2016-03-11 00:25:00  | 110  | wq2707   | Luz Benigna    , Recinos        
   2| 22138335   | Ivan David     , Rosas           | 2017-02-23 14:02:57  | 132  | ro0361   | Margarita Lucia, Santillan      
   3| 17146544   | Olga Matilde   , Restrepo        | 2016-04-25 21:35:52  | 110  | wq2707   | Luz Benigna    , Recinos        
   4| 31729532   | Lorenzo Miguel , Collins         | 2016-04-09 14:08:15  | 112  | fu6423   | Gerardo Damian , Mayorga        
   5| 32767934   | Iñigo Xabier  , Olivo           | 2016-07-29 04:05:31  | 56   | rn7049   | Alan Michael   , Quinonez       
   6| 41444606   | Florin Petru   , Perdomo         | 2017-02-12 03:54:29  | 55   | uo1466   | Alhagie        , Barragan       
   7| 27581121   | El Mehdi       , Bueno           | 2016-05-05 03:57:56  | 84   | pq8630   | Alexandra Teodo, Collins        
   8| 12003304   | Andreea Lorena , Rocha           | 2016-09-07 06:11:18  | 86   | kq4017   | Gara Maria     , Garces         
   9| 33864893   | Claudia Rosa   , Vigil           | 2016-03-02 12:28:04  | 128  | vm3150   | Gregorio Ramon , Quiroz         
  10| 27652192   | Joaquin Carmelo, Alcaraz         | 2016-05-16 11:18:56  | 64   | bc6871   | Maruja         , Dejesus        
  11| 41056855   | Alejandra Eugen, Catalan         | 2016-02-04 17:33:08  | 64   | bc6871   | Maruja         , Dejesus        
  12| 30412413   | Marcelo        , Man             | 2016-07-21 22:14:56  | 87   | wk4483   | Isabel Matilde , Smith          
  13| 16828155   | John Ronald    , Alvares         | 2017-02-16 07:08:44  | 108  | mb7362   | Diodora        , Zaragoza       
  14| 13788356   | Daniel Oscar   , Ramos           | 2017-01-19 10:25:33  | 137  | vv5214   | Ousmane        , Castaneda      
  15| 7494975    | Elsa Victoria  , Pabon           | 2016-09-15 19:03:37  | 103  | qr7005   | Francisca Jose , Barriga        
  16| 12439837   | Luz Maribel    , Mota            | 2016-07-01 11:06:56  | 114  | re3498   | Dayana Maria   , Ibanez         
  17| 32289277   | Carlos Giovanny, Parra           | 2016-09-30 11:01:35  | 55   | uo1466   | Alhagie        , Barragan       
  18| 26834719   | Adelino        , Guajardo        | 2016-09-15 02:30:31  | 119  | lu8416   | Iker Miguel    , Veloz          
  19| 38338771   | Terence David  , Morris          | 2017-05-08 19:04:52  | 90   | th9846   | Urbez          , Munoz          
  20| 33864893   | Claudia Rosa   , Vigil           | 2016-11-19 20:12:20  | 143  | pb3494   | Nicolas Alexand, Gallardo       
  21| 31729532   | Lorenzo Miguel , Collins         | 2016-10-01 19:58:46  | 98   | ie4552   | Irene Consuelo , Ahumada        
  22| 41467125   | Odile          , Armendariz      | 2017-04-09 16:43:53  | 104  | uc9495   | Vasile Calin   , Rojo           
  23| 22443591   | Debora         , Sotelo          | 2017-03-17 20:58:36  | 74   | nz0771   | Yurena Carmen  , Villasenor     
  24| 32236652   | Yerobe         , Campa           | 2016-01-10 16:01:13  | 75   | xj2648   | Brunilda       , Barriga        
  25| 41410518   | Kaixin         , Razo            | 2016-11-23 01:53:47  | 108  | mb7362   | Diodora        , Zaragoza       
  26| 11341552   | Saftica        , Lemus           | 2016-12-23 19:00:43  | 64   | bc6871   | Maruja         , Dejesus        
  27| 16221838   | Jesus Adrian   , Guzman          | 2017-05-08 03:00:09  | 61   | vr5133   | Iñaki Xabier  , Gil            
  28| 33582366   | Juan           , Noelia          | 2016-09-19 09:08:59  | 58   | qo7275   | Aissatou       , Scott          
  29| 30479421   | Cochi          , Coronel         | 2016-09-16 16:54:10  | 54   | qe5349   | Yahaya         , Lazaro         
  30| 22083447   | Elisabel       , Briones         | 2016-03-15 09:16:25  | 112  | fu6423   | Gerardo Damian , Mayorga        
  31| 17659148   | Mirta Maria    , Lemus           | 2017-02-07 12:26:00  | 143  | pb3494   | Nicolas Alexand, Gallardo       
  32| 29327238   | Jose Zacarias  , Muniz           | 2016-02-23 06:51:45  | 87   | wk4483   | Isabel Matilde , Smith          
  33| 30746168   | Raquel Miriam  , Merino          | 2016-01-30 00:46:49  | 90   | th9846   | Urbez          , Munoz          
  34| 35890832   | Hector Jorge   , Saenz           | 2016-11-04 21:35:42  | 60   | rs9222   | Mabrouka       , Duron          
  35| 19631987   | Leonidas       , Oropeza         | 2016-12-23 05:06:14  | 92   | iw1939   | Iman           , Madrid         
  36| 21172607   | Gemma Louise   , Manzano         | 2016-06-03 05:10:15  | 87   | wk4483   | Isabel Matilde , Smith          
  37| 8243145    | Jose Asensio   , Rosado          | 2017-03-09 19:04:53  | 58   | qo7275   | Aissatou       , Scott          
  38| 6578093    | Elisa Francisca, Aviles          | 2017-03-30 16:40:24  | 140  | hx4482   | Joaquima       , Ortega         
  39| 17344829   | Anna Katarzyna , Rincon          | 2017-01-21 04:52:49  | 64   | bc6871   | Maruja         , Dejesus        
  40| 10408263   | Adrian Marius  , Quesada         | 2016-05-12 01:36:32  | 86   | kq4017   | Gara Maria     , Garces         
  41| 30258730   | Fanny Margarita, Melgoza         | 2016-05-09 08:34:55  | 142  | cm3938   | Mario Patricio , Baker          
  42| 36191354   | Lidia Patricia , Jauregui        | 2016-07-23 03:44:25  | 84   | pq8630   | Alexandra Teodo, Collins        
  43| 9183172    | Iñigo Francisc, Gonsalez        | 2017-01-18 16:34:54  | 58   | qo7275   | Aissatou       , Scott          
  44| 28455051   | Noelia         , Juan            | 2016-03-19 17:15:00  | 137  | vv5214   | Ousmane        , Castaneda      
  45| 38285348   | Elvira Rosario , Solano          | 2016-12-28 14:16:53  | 64   | bc6871   | Maruja         , Dejesus        
  46| 6961931    | Terencio       , Velez           | 2016-05-13 06:07:33  | 152  | hx6663   | Yuliyana       , Aguirre        
  47| 13371424   | Iban           , Huerta          | 2016-01-13 15:53:12  | 77   | yh4724   | Emilia Yolanda , Landeros       
  48| 8518724    | Ilda Maria     , Allen           | 2016-10-30 21:42:44  | 77   | yh4724   | Emilia Yolanda , Landeros       
  49| 31950585   | Juan           , Noelia          | 2016-02-06 20:44:12  | 110  | wq2707   | Luz Benigna    , Recinos        
  50| 14776888   | Pedro Alcantara, Baltazar        | 2016-11-29 13:45:44  | 69   | rn2282   | Lurdes         , Duarte         
  51| 26015146   | Robinson Andres, Reyna           | 2017-02-26 22:35:15  | 149  | kj1435   | Salvador Juan  , Cordova        
  52| 33572065   | Iuliana Gabriel, Machado         | 2016-12-15 04:00:46  | 64   | bc6871   | Maruja         , Dejesus        
  53| 32513715   | Sofya          , Alfonso         | 2017-04-14 17:10:45  | 104  | uc9495   | Vasile Calin   , Rojo           
  54| 19059724   | Gonzalo        , Juan            | 2016-03-19 09:57:57  | 61   | vr5133   | Iñaki Xabier  , Gil            
  55| 16828155   | John Ronald    , Alvares         | 2016-12-29 16:50:54  | 98   | ie4552   | Irene Consuelo , Ahumada        
  56| 40908883   | Gabriela Loreda, Roa             | 2016-10-29 03:47:58  | 135  | gt9291   | Marcelo Rafael , Rodrigues      
  57| 41444606   | Florin Petru   , Perdomo         | 2016-07-12 08:53:49  | 123  | wg7954   | Peter Edward   , Cabrera        
  58| 16494557   | Andrea Marie   , Perry           | 2016-06-22 19:27:48  | 80   | to8977   | Manuel Melchor , Murillo        
  59| 39169601   | Trinidad Merced, Rogers          | 2016-03-18 19:07:54  | 86   | kq4017   | Gara Maria     , Garces         
  60| 41056855   | Alejandra Eugen, Catalan         | 2016-04-05 21:25:13  | 135  | gt9291   | Marcelo Rafael , Rodrigues      
  61| 38566078   | Gabriel Martin , Gurule          | 2016-07-17 23:00:48  | 140  | hx4482   | Joaquima       , Ortega         
  62| 9632874    | Wilhelmus      , Soto            | 2016-10-08 20:13:57  | 103  | qr7005   | Francisca Jose , Barriga        
  63| 30375853   | Gonzalo        , Juan            | 2016-11-17 05:48:15  | 110  | wq2707   | Luz Benigna    , Recinos        
  64| 12862616   | Abelio         , Loza            | 2016-02-07 15:36:21  | 108  | mb7362   | Diodora        , Zaragoza       
  65| 11802944   | Lucas Esteban  , Almaraz         | 2016-05-13 09:40:58  | 92   | iw1939   | Iman           , Madrid         
  66| 38511041   | Dorina Mihaela , Robinson        | 2016-09-26 05:41:01  | 104  | uc9495   | Vasile Calin   , Rojo           
  67| 25938021   | Jorge Adolfo   , Barrientos      | 2017-01-03 05:49:07  | 137  | vv5214   | Ousmane        , Castaneda      
  68| 9234675    | Noelia         , Gomez           | 2016-06-25 15:28:13  | 110  | wq2707   | Luz Benigna    , Recinos        
  69| 11948301   | Luis Avelino   , Ward            | 2016-08-07 00:19:46  | 135  | gt9291   | Marcelo Rafael , Rodrigues      
  70| 23256896   | Uche           , Duarte          | 2017-02-09 08:49:22  | 71   | lz3081   | Maria Iranzu   , Gallegos       
  71| 13230248   | Lilia          , Barriga         | 2016-04-02 11:11:43  | 137  | vv5214   | Ousmane        , Castaneda      
  72| 41735057   | Noelia         , Gomez           | 2017-04-10 16:56:01  | 71   | lz3081   | Maria Iranzu   , Gallegos       
  73| 21172607   | Gemma Louise   , Manzano         | 2017-04-24 08:44:54  | 61   | vr5133   | Iñaki Xabier  , Gil            
  74| 17527467   | Dayana Maria   , Quevedo         | 2016-10-24 16:51:45  | 71   | lz3081   | Maria Iranzu   , Gallegos       
  75| 21504159   | Maria Celi     , Izquierdo       | 2017-04-17 20:18:03  | 135  | gt9291   | Marcelo Rafael , Rodrigues      
  76| 20924794   | Sylwia         , Rizo            | 2017-01-04 23:54:07  | 142  | cm3938   | Mario Patricio , Baker          
  77| 38825276   | Asuncion Rosari, Paez            | 2017-04-25 04:23:07  | 119  | lu8416   | Iker Miguel    , Veloz          
  78| 25768940   | Edina          , Terrazas        | 2017-05-11 18:06:38  | 55   | uo1466   | Alhagie        , Barragan       
  79| 21239546   | Ildefons       , Mares           | 2016-12-14 22:51:48  | 123  | wg7954   | Peter Edward   , Cabrera        
  80| 37945020   | Jane Margaret  , Ledezma         | 2016-05-15 14:13:39  | 143  | pb3494   | Nicolas Alexand, Gallardo       
  81| 27652192   | Joaquin Carmelo, Alcaraz         | 2016-01-09 00:56:27  | 148  | uj9718   | Qunfeng        , Felix          
  82| 38929643   | Roxana Isabel  , Servin          | 2017-02-25 17:02:15  | 103  | qr7005   | Francisca Jose , Barriga        
  83| 10427463   | Gonzalo        , Noelia          | 2016-12-17 05:50:06  | 123  | wg7954   | Peter Edward   , Cabrera        
  84| 9286541    | Shuli          , Amaro           | 2017-02-23 04:47:01  | 104  | uc9495   | Vasile Calin   , Rojo           
  85| 8344251    | Ramona Valentin, Deltoro         | 2016-07-19 02:01:59  | 56   | rn7049   | Alan Michael   , Quinonez       
  86| 40208666   | Celerina       , Pacheco         | 2016-09-14 12:57:57  | 110  | wq2707   | Luz Benigna    , Recinos        
  87| 12049174   | Ondiz          , Villareal       | 2016-04-20 13:26:48  | 90   | th9846   | Urbez          , Munoz          
  88| 29068736   | Cointa         , Carvajal        | 2016-12-18 20:29:42  | 111  | sm9279   | Luis Stalin    , Yanez          
  89| 36729868   | Oscar Antonio  , Valdez          | 2017-03-07 20:58:25  | 71   | lz3081   | Maria Iranzu   , Gallegos       
  90| 29068736   | Cointa         , Carvajal        | 2016-07-01 18:28:51  | 137  | vv5214   | Ousmane        , Castaneda      
  91| 28322936   | Calin Adrian   , Haro            | 2016-01-03 19:41:41  | 114  | re3498   | Dayana Maria   , Ibanez         
  92| 32767934   | Iñigo Xabier  , Olivo           | 2016-08-12 22:02:43  | 149  | kj1435   | Salvador Juan  , Cordova        
  93| 39052896   | Gela           , Millan          | 2016-05-24 05:37:39  | 60   | rs9222   | Mabrouka       , Duron          
  94| 7303232    | Marzena Anna   , Montesdeoca     | 2016-11-21 21:11:23  | 56   | rn7049   | Alan Michael   , Quinonez       
  95| 19597608   | Josefina Carlot, Colin           | 2017-03-26 09:02:00  | 85   | jh4456   | Ronald Edward  , Noriega        
  96| 23162320   | Maria Jaqueline, Ortiz           | 2016-04-11 06:36:03  | 64   | bc6871   | Maruja         , Dejesus        
  97| 37945020   | Jane Margaret  , Ledezma         | 2016-12-17 04:46:33  | 85   | jh4456   | Ronald Edward  , Noriega        
  98| 17244471   | Edison Raul    , Jackson         | 2016-10-12 19:51:28  | 146  | pb1976   | Pedro Justo    , Pinedo         
  99| 6297886    | Francisca Nativ, Cintron         | 2016-02-11 02:25:01  | 85   | jh4456   | Ronald Edward  , Noriega        
 100| 26015146   | Robinson Andres, Reyna           | 2015-05-15 09:54:57  | 56   | rn7049   | Alan Michael   , Quinonez       
 101| 35607928   | Moumna         , Recinos         | 2015-11-07 10:27:24  | 104  | uc9495   | Vasile Calin   , Rojo           
 102| 39460346   | Jordan Andres  , Corrales        | 2017-01-13 14:04:57  | 89   | np8906   | Jema           , Olvera         
 103| 13336191   | Juan           , Noelia          | 2016-01-16 02:59:11  | 98   | ie4552   | Irene Consuelo , Ahumada        
 104| 41735057   | Noelia         , Gomez           | 2017-01-06 07:59:39  | 58   | qo7275   | Aissatou       , Scott          
 105| 12699759   | Gonzalo        , Noelia          | 2015-06-08 14:19:33  | 69   | rn2282   | Lurdes         , Duarte         
 106| 28568764   | Noelia         , Gomez           | 2016-12-01 03:10:20  | 90   | th9846   | Urbez          , Munoz          
 107| 17527467   | Dayana Maria   , Quevedo         | 2015-10-19 23:07:10  | 64   | bc6871   | Maruja         , Dejesus        
 108| 39441235   | Luciano        , Serruya Aloisi  | 2015-10-20 15:56:40  | 142  | cm3938   | Mario Patricio , Baker          
 109| 40208666   | Celerina       , Pacheco         | 2015-02-09 03:41:36  | 58   | qo7275   | Aissatou       , Scott          
 110| 27399514   | Salvadora      , Olivas          | 2016-08-07 15:37:08  | 75   | xj2648   | Brunilda       , Barriga        
 111| 6578093    | Elisa Francisca, Aviles          | 2016-09-05 04:58:19  | 104  | uc9495   | Vasile Calin   , Rojo           
 112| 16205718   | Pablo Isidro   , Alejandro       | 2015-01-24 02:49:40  | 140  | hx4482   | Joaquima       , Ortega         
